Title,Lyrics
Tangled,"I'm full of regrets for all the things
That I've done and said
And I don't know if it'll ever be okay to show
My face around here
Sometimes I wonder if I disappear
Would you ever turn your head and look
See if I'm gone 'cause I fear
There is nothing left to say to you
That you wanna hear
That you wanna know
I think I should go
The things I've done are way too shameful
Your just an innocent
Helpless victim of a spider's web
And I'm an insect
Going after anything that I can get
So you better turn your head and run
And don't look back 'cause I fear
There is nothing left to say to you
That you wanna hear
That you wanna know
I think I should go
The things I've done are way too shameful
And I've done you so wrong
Treated you bad, strung you along
Oh, shame on myself
I don't know how I got so tangled up
Ohh yeah, yeah, yeah, yeah, yeah, yeah
You better turn your head and look
See if I'm gone 'cause I fear
There is nothing left to say to you
That you wanna hear
That you wanna know
I think I should go
The things I've done are way too shameful
And I've done you so wrong
And treated you bad, strung you along
Oh, shame on myself
I don't know how I got so tangled up
Strung you along
Oh, shame on myself
I don't know how I got so tangled up"
Through With You,"Can you see me
Floating above your head
As you lay in bed
Thinking about everything
That you did not do
Cause saying I love you
Has nothing to do with meaning it
And I don't trust you
Cause every time you're here
Your intentions are unclear
I spend every hour waiting for a phone call
That I know will never come
I used to think you were the one
Now I'm sick of thinking anything at all
You ain't ever coming back to me
That's not how things were supposed to be
You take my hand just to give it back
No other lover has ever done that
Do you remember
The way we used to melt
Do you remember how it felt
When I touched you
Oh cause I remember very well
And how long has it been
Since someone you let in
Has given what I gave to you
And at night when you sleep
Do you dream I would be there
Just for a minute or two do you?
You ain't ever coming back to me
That's not how things were supposed to be
You take my hand just to give it back
No other lover has ever done that
Heartache heartache I just have so much
A simple love with a complex touch
There is nothing you can say or do
I called to let you know I'm through with you"
Wasted Years,"Slow is the memory
I can picture her standin' right in front of me
Orange blossoms crushed on concrete
I walk around with bare feet, 'cuz I know you want me
Can't remember anything
Her skin it tastes like sugar cane
And I had already gotten there before I came
My tank is empty and I know you're thirsty
But I have already tried to explain myself
It's not that I love someone else
But I can't bear to listen to your cry, yeah
I'm sick of all these wasted years
A rag for someone else's tears
I wring you out as I hang you out to dry
No, no, no, no, no, no, yeah
And I'll see you when I get back
Maybe we can get ourselves back on the right track
You touch me there because you know how much I like that
I think that we will need to relax 'cuz I know you want me
All the time and everywhere
A happy surface but the underbelly isn't there
The worst thing is that I don't even really care
The emptiness is too much to bear
But I have already tried to explain myself
It's not that I love someone else
But I can't bear to listen to your cry
I'm sick of all these wasted years
A rag for someone else's tears
I wring you out as I hang you out to
C'mon c'mon, get off the phone, please, come home
It's been so lonely since you've been gone
Your love surround me, up and down me
Be all around me, baby, I can't breathe no more
C'mon c'mon, get off the phone, please, come home
It's been so lonely since you've been gone
Your love surround me, up and down me
Be all around me, baby, I can't breathe no more
But I have already tried to explain myself
It's not that I love someone else
But I can't bear to listen to your cry
I'm sick of all these wasted years
A rag for someone else's tears
I wring you out as I hang you out to dry
Sick of all these wasted years
A rag for someone else's tears
I wring you out as I hang you out to, to, dry
To try, try to get back home
Try, you try, yeah"
Way I Was (Non-Lp Version),"Making love to a picture frame
One more time tonight
You can tell by the lines in her smile
Something is not right
Where are you hiding?
She's on the outside
I'm on the inside crying
Just another crazy boy hungry for your
Hot love, wrap yourself around me like a warm glove
The emptiness leaves me
And I feel the never need to go back
To the way I was, the way I was
I've tried and tried and tried and tried
But I've no concept of consequence
And I'm a master of self defense
Days get longer, life gets shorter
She rips me like no other
So oh, dripping from head to toe
Where are you hiding?
She's on the outside
I'm on the inside crying
Hot love, wrap yourself around me like a warm glove
The emptiness leaves me
And I feel the never need to go back
To the way I was, the way I was
Hot love, wrap yourself around me like a warm glove
The emptiness leaves me
And I feel the never need to go back
To the way I was, the way I was
And I can't make the same mistake
If you lose my love, it was yours to take
Break down your door, take a little more
When I need you around
And I'm so terrified of leaving, it's a new low
Try and pick me up again but let go
See how far I get without you
Desperately need more of your
Hot love, wrap yourself around me like a warm glove
The emptiness leaves me
And I feel the never need to go back
To the way I was, the way I was
Hot love, wrap yourself around me like a warm glove
The emptiness leaves me
And I feel the never need to go back
To the way I was, the way I was"
Towering Over Rivals,"I didn't hear what you were saying
I live on raw emotion, baby
I answer questions, never maybe
And I'm not kind if you betray me
So who the hell are you to save me?
I never would've made it, baby
If you needed love, well then ask for love
Could've given love, now I'm taking love
And it's not my fault, cause you both deserve
What's coming now, so don't say a word
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't think so
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
Come around here, I don't think so
I would've bled to make you happy
You didn't need to treat me that way
And now you've beat me at my own, game
And now I found you sleeping sound
And now your love is screaming loudly
I hear a sound and hit the ground
If you needed love, well then ask for love
Could've given love, now I'm taking love
And it's not my fault, cause you both deserve
What's coming now, so don't say a word
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't think so
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
Come around here, I don't feel so bad
I don't feel so bad
I don't feel so bad
I'm so sorry, darling
Did I do the wrong thing?
Oh, what was I thinking?
Is his heart still beating?
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't think so
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
Come around here, I don't feel so bad
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't think so
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
No, he won't come around here
I don't feel so bad
Don't feel so bad
Don't feel so bad"
Angel In Blue Jeans,"I saw an angel in blue jeans today
It felt as she melted all my bitterness away
You always tried so hard
To hide you'r wings behind you'r coat
So let it be
And let them free
So you can hover low
Above the ground
You look so tired
You moon beams in you'r eyes
And if I belived,
I knew you'd be the first to fly
You always tried so hard
To hide you'r wings behind you'r coat
So let it be
And let them free
So you can hover low
Above the ground
I'll find sunshine,
Sometime soon
How can I miss anything about you,
When I don't even know what you'r name is?
I feel like I know you
As well as I know the sun
So please tell me,
Where is my sunshine now?
I'll find sunshine,
Sometime soon
How can I miss anything about you,
When I don't even know what you'r name is?
I feel like I know you
As well as I know the sun
So please tell me,
Where is my sunshine now?
How can I miss anything about you,
When I don't even know what you'r name is?
I feel like I know you
As well as I know the sun
I wonder,
Where is my sunshine now?"
As Things Collide,"You have this way of dipping in and out of
Sight as things collide
Bridges burning softly in the night
And you have this way of falling in and out of
Time as it goes by
Passing silently with no goodbye
And I've spoken with all the other angels
They dont know what to do
And i agree with them whole-heartedly, I do
Tellogram came today from a friend
Saying, ""Where in the hell have you been?
Where are you goin'?""
I said, ""I dont know, does the lonliness show?
And if so does it ever end?""
And I've spoken with all the other angels
They dont know what to do
And I agree with them whole-heartedly, I do
You have this way of meaning everything and nothing to me
At the same time
Returning my hellos with goodbyes
'Cause I've spoken with all the other angels
They dont know what to do
And I agree with them whole-heartedly, I do...
'Cause I've spoken with all the other angels
They dont know what to do
And I agree with them whole-heartedly, I do...
And I've spoken with all the other angels
They dont know what to do
And I agree with them whole-heartedly, I do"
Control Myself,"I have told all of my enemies
Very politely to go home
I have seen all of your remedies
Now won't you let me please go home?
I can't find anything to be sad about
They say I'm doomed but I feel fine
I have tried so very hard as hell
To stay away from hell and live upstairs
But when I see all of your remedies
I try quite desperately to go home
I can't find anything to be sad about
They say I'm doomed but I feel fine
But if I'm sitting here lonely
With no one to hold me
At least I'll have my health
I'm trying to control myself
I have told all of my enemies
Very politely to go home
I have seen all of your remedies
Now won't you let me please go home?
I've been acting irresponsibly
But what could possibly go wrong?
I have choked on all your remedies
Now won't you let me please go home?
But if I sit here lonely
With no one to hold me
At least I'll have my health
I'm trying to control myself
I'm trying to control
Myself"
Figure It Out,"I'm happy you came to me first before the bubble burst
I'm happy you answered my calls, I'm bouncing off the walls
Impossible to be tamed, her need cellophane
I'm happy you like to play games, why did you run away?
We could spend some time together
What he had he'll never know
Your boyfriend gives you no respect
And I can see you're getting it
So figure it out and let's go
I'm happy you're so impulsive, means that you're passionate
I'm happy you're moving so fast but will it ever last?
I know you wanna break free from this monotony
I'm happy you're coming with me but by choice it's gotta be
We can spend some time together
What he has he'll never know
Your boyfriend gives you no respect
And I can see you're getting it
So figure it out and let's go
I'm happy you're changing your speed, slow down and lay with me
On bottom but always discrete, kneel down and kiss her feet
I'm happy you're going too far, full strength before we start
Sometimes you make it so hard, scream loud as we come apart
We can spend some time together
What he had he'll never know
Your boyfriend gives you no respect
And I can see you're getting it
So figure it out and let's go
We can spend some time together
What he has he'll never know
Your boyfriend gives you no respect
And I can see you're getting it
So figure it out and let's go
Figure it out and let's go
Figure it out and let's go
Figure it out and let's go"
Happy Christmas (war Is Over),"So this is Xmas
And what have you done
Another year over
And a new one just begun
And so this is Xmas
I hope you have fun
The near and the dear ones
The old and the young
A very Merry Xmas
And a Happy New Year
Let's hope it's a good one
Without any fear
And so this is Xmas
(War is over)
For weak and for strong
(If you want it)
The rich and the poor ones
(War is over now)
The world is so wrong
And so Happy Xmas
(War is over)
For black and for white
(If you want it)
For yellow and red ones
(War is over now)
Let's stop all the fight
A very Merry Xmas
And a Happy New Year
Let's hope it's a good one
Without any fear
And so this is Xmas
(War is over)
And what have we done
(If you want it)
Another year over
(War is over now)
A new one just begun
And so Happy Xmas
(War is over)
We hope you have fun
(If you want it)
The near and the dear ones
(War is over now)
The old and the young
A very Merry Xmas
And a Happy New Year
Let's hope it's a good one
Without any fear
War is over
If you want it
War is over now
Happy Xmas
Happy Xmas
Happy Xmas"
Hold On,"Hold on, Hold on! We're on our way x2
I'm not falling apart!
Hold on, Hold on we're on our way x2
I'm not falling apart!
I don't mind falling in the waters, no-one ever notices me, now play under the waves x2
Instumental
Hold on hold we're on our way x2
I'm not falling apart [not falling apart x4]"
I Won't Go Home Without You,"I asked her to stay
But she wouldn't listen
She left before I had the chance to say (Oh-oh)
The words that would mend
The things that were broken
But now it's far too late, she's gone away
Every night you cried yourself to sleep
Thinking: ""Why does this happen to me?
Why does every moment have to be so hard?""
Hard to believe it
It's not over tonight
Just give me one more chance to make it right
I may not make it through the night
I won't go home without you
The taste of her breath, I'll never get over
The noises that she made kept me awake (Oh)
The weight of the things that remained unspoken
Built up so much it crushed us everyday
Every night you  cried yourself to sleep
Thinking: ""Why does this happen to me?
Why does every moment have to be so hard?""
Hard to believe it
It's not over tonight
Just give me one more chance to make it right
I may not make it through the night
I won't go home without you (Oh-oh-oh-oh)
It's not over tonight
Just give me one more chance to make it right
I may not make it through the night
I won't go home without you (Oh-oh-oh-oh)
Of all the things I felt but never really showed
Perhaps the worst is that I ever let you go
I should not ever let you go (oh-oh-oh)
It's not over tonight
Just give me one more chance to make it right
I may not make it through the night
I won't go home without you (oh-oh-oh-oh)
It's not over tonight
Just give me one chance to make it right
I may not make it through the night
I won't go home without you
And I won't go home without you
And I won't go home without you
I won't go home without you"
If You Only Knew,"I wake up thoughts of you tattooed to my mind
As I wonder what to wear, what to eat, who to be
Will I see you again? And as my car breaks down
I shake my head and say, ""What a day??
If you only knew
What I went through just to get to you
I'm hanging from you
And I'll hold on if you want me to
Every bus, every train
Ever cab, every lane is jammed
So I look to the sky
And I reach for the planes with my hands
If all my days go wrong
I'll think about last night
It went right
If you only knew
What I went through just to get to you
I'm hanging from you
And I'll hold on if you want me to
If you only knew
What I went through just to get to you
I'm swinging from you
And there's nothing I would rather do"
Infatuation,"Baby, I don't wanna spend my life on trial
For something that I did not do
And maybe if you stopped and looked around sometime
I wouldn't pass right by you
Maybe it's because you are so insecure
And maybe your pain don't care
Maybe it's the chase that really gets me off
It falls away and it's just not there
You burn another bridge
Break another heart
You try again, it will only fall apart
Infatuation, not seeing the rest of you
Is getting the best of me
It's such a shame that you shot me down
Would have been nice to be around
I'm touching your skin
If it's only a fantasy then why is it killing me?
And I guess this must be infatuation
I want it, I want it, I want it, I want it
I want it, I want it, I want it
I try to put my finger on what burns me up
It always seems to escape me
And when you have decided that you've had enough
Just tell me where I need to be
And now her face is something that I never had
To ever deal with before
She left me with the feeling that she'd had enough
And I'm the one wanting more
Burn another bridge
Break another heart
You try again, it will only fall apart
Infatuation, not seeing the rest of you
Is getting the best of me
It's such a shame that you shot me down
Would have been nice to be around
I'm touching your skin
If it's only a fantasy then why is it killing me?
And I guess this must be infatuation
I want it, I want it, I want it, I want it
I want it, I want it, I want it
I'm so attracted to you
The feeling's mutual too
And I get scared the moment you leave
Get so hot, I forget to breathe, yeah
Infatuation, not seeing the rest of you
Is getting the best of me
It's such a shame that you shot me down
Would have been nice to be around
I'm touching your skin
If it's only a fantasy then why is it killing me?
And I guess this must be infatuation
I want it, I want it, I want it, I want it
I want it, I want it, I want it
I want it, I want it, I want it, I want it
I want it, I want it, I want it"
Losing My Mind,"It's so hard to find you
I'm standing right behind you
Streets are much colder
Must mean I'm getting older
Why would you? How could I?
These questions lead to goodbye
Now I got my freedom, don't I?
I parked my car outside your house
Hoping someday you'll come home
It seems the woman that I love
Is someone that I hardly know
And after all this time
I finally found the way to be alone
I'm terrified, I think that I
May be losing my mind
The shy girl's so humble
With thighs that make me stumble
Somehow not speaking
Lets me know everything
I go out, you eat in
Hide from the situation
You're naked in daylight
Wrap yourself up in goodnight
I'm burning, I'm hungry
Angry 'cause she don't love me
You've got me completely
In my own game you beat me
I parked my car outside your house
Hoping someday you'll come home
It seems the woman that I love
Is someone that I hardly know
And after all this time
I finally found the way to be alone
I'm terrified, I think that I
May be losing my mind
I will be back again
No, this is not the end
I've fallen hard this time
But I'm not giving in
I want the world to know
That I won't let you forget
The tears that you shed
I'll make it impossible to let go
I parked my car outside your house
Hoping someday you'll come home
It seems the woman that I love
Is someone that I hardly know
And after all this time
I finally found the way to be alone
I'm terrified, I think that I
May be losing my mind
I parked my car outside your house
I hope that someday you'll come home
It seems the woman that I love
Is someone that I hardly know
And after all this time
I finally found the place to be alone
I'm terrified, I think that I
May be losing my mind"
M,"If good girls get down on the floor
Tell me how low will a bad girl go
[Verse]
I wake up with blood-shot eyes
Struggled to memorize
The way it felt between your thighs
Pleasure that made you cry
Feel so good to be bad
Not worth the aftermath, after that
After that
Try to get you back
[Bridge]
I still don't have the reason
And you don't have the time
And it really makes me wonder
If I ever gave a fuck about you
[Chorus]
Give me something to believe in
Cause I don't believe in you anymore
Anymore
I wonder if it even makes a difference to try
(Yeah)
So this is goodbye
[Verse]
God damn my spinning head
Decisions that made my bed
Now I must lay in it
And deal with things I left unsaid
I want to dive into you
Forget what you're going through
I get behind, make your move
Forget about the truth
[Bridge]
I still don't have the reason
And you don't have the time
And it really makes me wonder
If I ever gave a fuck about you
[Chorus]
Give me something to believe in
Cause I don't believe in you anymore
Anymore
I wonder if it even makes a difference,
It even makes a difference to try
And you tell me how you feelin
But I don't believe it's true anymore
Anymore
I wonder if it even makes a difference to cry
(Oh no)
So this is goodbye
[Breakdown]
I've been here before
One day I wake up
And it won't hurt anymore
You caught me in a lie
I have no alibi
The words you said don't have a meaning
Cause
[Bridge]
I still don't have the reason
And you don't have the time
And it really makes me wonder
If I ever gave a fuck about you
and I...And so this is goodbye
[Chorus]
Give me something to believe in
Cause I don't believe in you anymore
Anymore
I wonder if it even makes a difference,
It even makes a difference to try
And you tell me how you feelin
But I don't believe it's true anymore
Anymore
I wonder if it even makes a difference to cry
(Oh no)
So this is goodbye
So this is goodbye, yeah [x3]
(Oh no)"
"Miss You, Love You","This is not been easy, this has been hard
I am scarred and I do not know what to do with you
Go inside, kiss your mouth, lick my lips, strap your hips
Can't remember why I fell in love with this
I miss you, I love you
It's a shame you can't stay away from me this time, oh no
You beg me, you ask me to kiss you and hug you
You won't be getting my affection again, oh no
I don't need you
Who do you think you are? No one cares about a name without a face
So don't go shooting up the place
Make no mistake, your love's not real 'cause the love I've got is deeper
So much deeper than you can ever feel
And I miss you, I love you
It's a shame you can't stay away from me this time, oh no
You beg me, you ask me to kiss you and hug you
You won't be getting my affection again, oh no
'Cause I don't need you tonight
It was really nice to know you and nothing left to show you
I got bills to pay, get out of the way, it's time to move on
And dinner with your boyfriend will never be the same again
Discuss me over cigarettes and say to him
I miss you, I love you
It's a shame, you can't stay away from me this time, oh no
You beg me, you ask me to kiss you and hug you
You won't be getting my affection again, oh no
'Cause I don't need you
I miss you, I love you
It's a shame, you can't stay away from me this time, oh no
You beg me, you ask me to kiss you, hug you
You won't be getting my affection again, no, no
'Cause I won't need you"
My Ocean Blue,"I once heard Captain Dan tell me a story
about this lovely girl who's name was Jane
She was vast and deep and filled with glory
Aaaahhhh
Bottom served as home for hull and anchor
She's always fit to quarrel with the wind
The great Titanic yes it's she that sank her
Aaaahhhh
Then she heard me
Say that oath that
made everything clear
I love you
My ocean blue
I like the way your sea sees me
My darling Jane
She speaks to me at times through falling rain
Now twas time to manifest her vigor
Was she fit to quarrel with the wind?
The air was strong but Jane she was much bigger
Aaaaahhhh
Then she heard me
say that oath that
made everything clear
I love you
My ocean blue
I like the way your sea sees me
My darling Jane
Oh me, my darling Jane
Oh me and my darling Jane
She speaks to me at times through falling rain
Speaks to me at times through falling rain"
Pure Imagination,"Come with me and you'll be
In a world of pure imagination
Take a look and you'll see
Into your imagination
We'll begin with a spin
Trav'ling in the world of my creation
What we'll see will defy
Explanation
If you want to view paradise
Simply look around and view it
Anything you want to, do it
Want to change the world, there's nothing to it
There is no life I know
To compare with pure imagination
Living there, you'll be free
If you truly wish to be
If you want to view paradise
Simply look around and view it
Anything you want to, do it
Want to change the world, there's nothing to it
There is no life I know
To compare with pure imagination
Living there, you'll be free
If you truly wish to be"
Ragdoll,"How you feelin'?
The day has had its way with both of us
And no, I've gone out of my way
But I'm not free from this pain I'm reelin'
I was a fool to think someday you would come around
But no, no, no, I'm not thinkin' that way
'Cause now I see, you are not what you seem
You are a mystery to me
Sometimes I just wanna scream
I think you should just go away 'cause
There's no necessity for you to stay, yeah
Next time you come around my way
Forget it baby, you're not comin' in
How's your day been? Yeah
'Cause mine has taken strange and lovely turns
But no, no, no, I feel better today
'Cause I'm off my knees, you are not what you seem
You are a mystery to me
Sometimes I just wanna scream, yeah
I think you should just go away 'cause
There's no necessity for you to stay, yeah
Next time you come around my way
Forget it baby, you're not comin' in
A heart ready for a lot of sorrow
No, you can't come back tomorrow
Shut my windows, lock my doors
'Cause my heart won't be your ragdoll anymore, yeah
I think you should just go away 'cause
There's no necessity for you to stay, yeah
Next time you come around my way
Forget it baby, you're not comin' in
A heart ready for a lot of sorrow
No you can't come back tomorrow
Shut my windows, lock my doors
'Cause my heart won't be your ragdoll anymore
'Cause my heart won't be your ragdoll anymore"
Simple Kind Of Lovely,"Leaning on a tree trunk
Thinking all the same junk
Falling in and out of a dream
Back and forth I'm swaying
I'm contemplating staying
Laying and decaying
When I know I must leave
Where do I aim when I shoot the breeze?
How do I calm myself at times like these?
I need a simple kind of lovely
And the *thought* is just a novelty
You can spend the whole time
Dangling from a grape vine
Standing underneath you
When they cut you free
What about when the sun leaves?
And what about all those bad dreams?
Who will walk you back into reality?
I wish things could be like this everyday
But I know that I could never live this way
It was just a simple kind of lovely
And the memories will be ok
The memories will be ok
Memories will be ok"
Story,"Do you mean all the things you are?
Are you pleased with the way things are?
Wear that dress to protect this scar
That only I have seen
Do you give just to please yourself?
Do you wish you were somewhere else?
Justified all the things you tried
Said that it was all for me
And be near just for the moment
Stay here, never go home
Did you know
That everything she ever does is for you?
So it goes
As the story of a broken heart comes true, it comes true
Have you learned all the secrets yet?
Were you burned by the things I've said?
Took the dive just to feel alive
But never heard the truth
Now I'm in love but I don't know how
And I'm in pain 'cause I want it now
And as I sit watching her eyes close
I slowly open mine
Be near just for the moment
Stay here, never go home
Did you know
That everything she ever does is for you?
So it goes
As the story of a broken heart comes true, comes true
I am so confused by this
I know that life is hit or miss
Days are stung by too much sun
I think that you may be the one
Cover yourself up in me
Shrouded in what could have been
I will listen to your pain
If you listen to me
Did you know
That everything she ever does is for you?
So it goes
As the story of a broken heart comes true
Did you know
That everything she ever does is for you?
And I know
As the story of a broken heart comes true, comes true
True, it comes true, true"
Sweetest Goodbye/sunday Morning,"Where you are seems to be
As far as an eternity
Outstretched arms open hearts
And if it never ends then when do we start?
I'll never leave you behind
Or treat you unkind
I know you understand
And with a tear in my eye
Give me the sweetest goodbye
That I ever did receive
Pushing forward and arching back
Bring me closer to heart attack
Say goodbye and just fly away
When you comeback
I have some things to say
How does it feel to know you never have to be alone
When you get home
There must be someplace here that only you and I could go
So I can show you how I
Dream away everyday
Try so hard to disregard
The rhythm of the rain that drops
And coincides with the beating of my heart
I'll never leave you behind
Or treat you unkind
I know you understand
And with a tear in my eye
Give me the sweetest goodbye
That I ever did receive
Pushing forward and arching back
Bring me closer to heart attack
Say goodbye and just fly away
When you comeback
I have some things to say
How does it feel to know you never have to be alone
When you get home
There must be someplace here that only you and I could go
So I can show you how I feel"
Take What You Want,"I woke up this morning with the burden of love hanging over my head as I
Walked into the living room
Sit with you, discuss whats going on
Is it me?
Is it you?
Is it something I forgot to do?
Tell me so that I understand
I just need some time
Gather all my thoughts
To make up for the love I just lost
You've been so good to me, given me everything
Take what you want cause it doesn't belong to me
I woke up this morning with the hurting that I would never ever wish upon
Even my worst enemy
Who is she, what the hell do you people want?
Is it me?
Is it you?
Is it something i forgot to do?
Tell me so that i understand
I just need some time
Gather all my thoughts
To make up for the love I just lost
You've been so good to me given me everything
Take what you want cause it doesn't belong to me anyway
I just need some time
Gather all my thoughts
To make up for the love I just lost
You've been so good to me given me everything
Take what you want cause it doesn't belong to me"
That's Not Enough,"She was a bad thing coming, but I did not know
And every time I came over she told me I had to go
I said, ""Hey, what's going on? I really want to know""
She said, ""I cannot tell you now, but I'll call you tomorrow""
That's not enough, I want more, I want it all
I want to bang on your front door
Turn off the lights and shut out the world
'Cause at the end of the day
Aren't we all just boys and girls?
Yeah, she's snake me with sophistication, so much class
She drinks a Santa margarita, would you like a glass?
I don't know how to say no, and after three or four
I was on the floor singing my song, la la la, no, no
That's not enough, I want more, I want it all
I want to bang on your front door
Turn off the lights and shut out the world
'Cause at the end of the day
Aren't we all just boys and girls?
Yeah, la la la, no, no
That's not enough, I want more, I want it all
I want to bang on your front door
Turn off the lights and shut out the world
'Cause at the end of the day
Aren't we all just boys and girls?
Aren't we all just boys and girls?
Aren't we all just boys and girls?
(All just boys and girls)
Oh yeah, oh
Aren't we all just boys and girls?
Aren't we all just boys and girls?
Yeah, oh"
The Fog,"Here in this town they have all got the blues
As the paper boy takes off without any news
Angels have wings you can feel free to use
The corner store drugs you can freely abuse
And Im yelling and screaming cause baby youre driving me crazy
So life on your own has been vacant and cold
Everyones getting somewhere and youre getting old
Career opportunities they all have been sold
Along with your body and most of your soul
And Im yelling and screaming cause baby youre driving me crazy
If I could spare more remorse from my emptied out pores I would maybe
Cause the fogs getting thicker the worlds spinning fast
The chaos is building, its going too last
And its so hard to see and youre so hard to find
The days when I think I am losing my mind
So keep painting pictures of beautiful scenes
Striking the canvas with deep blues and greens
When you start frowning they think youre obscene
As you work overtime to make sure they can dream
Im yelling and screaming cause baby youre driving me crazy
If I could spare more remorse from my emptied out pores I would maybe
Cause the fogs getting thicker the worlds spinning fast
The chaos is building, its going too last
And its so hard to see and youre so hard to find
The days when I think I am losing my mind
And we yell and we scream
As the fogs getting thicker the worlds spinning fast
The chaos is building, its going to last
And its so hard to see and youre so hard to find
The days when I think I am losing my mind
And the fogs getting thicker the worlds spinning fast
The chaos is building, its going to last
And its so hard to see and youre so hard to find
The days when I think I am losing my mind"
The Way I Was,"Making love to a picture frame
One more time tonight
You can tell by the lines in her smile
Something is not right
Where are you hiding?
She's on the outside
I'm on the inside crying
Just another crazy boy hungry for your
Hot love, wrap yourself around me like a warm glove
The emptiness leaves me
And I feel the never need to go back
To the way I was, the way I was
I've tried and tried and tried and tried
But I've no concept of consequence
And I'm a master of self defense
Days get longer, life gets shorter
She rips me like no other
So oh, dripping from head to toe
Where are you hiding?
She's on the outside
I'm on the inside crying
Hot love, wrap yourself around me like a warm glove
The emptiness leaves me
And I feel the never need to go back
To the way I was, the way I was
Hot love, wrap yourself around me like a warm glove
The emptiness leaves me
And I feel the never need to go back
To the way I was, the way I was
And I can't make the same mistake
If you lose my love, it was yours to take
Break down your door, take a little more
When I need you around
And I'm so terrified of leaving, it's a new low
Try and pick me up again but let go
See how far I get without you
Desperately need more of your
Hot love, wrap yourself around me like a warm glove
The emptiness leaves me
And I feel the never need to go back
To the way I was, the way I was
Hot love, wrap yourself around me like a warm glove
The emptiness leaves me
And I feel the never need to go back
To the way I was, the way I was"
This Love (Croatian Translation),"I was so high I did not recognize
The fire burning in her eyes
The chaos that controlled my mind
Whispered goodbye as she got on a plane
Never to return again
But always in my heart, oh!
This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
And I have no choice
?Cause I won't say goodbye anymore
I tried my best to feed her appetite
Keep her coming every night
So hard to keep her satisfied, oh!
Kept playing love like it was just a game
Pretending to feel the same
Then turn around and leave again
This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
And I have no choice
?Cause I won't say goodbye anymore
I'll fix these broken things
Repair your broken wings
And make sure everything's alright
(It's alright, it's alright)
My pressure on your hips
Sinking my fingertips
Into every inch of you
Because I know that's what you want me to do
This love has taken its toll on me
She said goodbye too many times before
Her heart is breaking in front of me
And I have no choice
?Cause I won't say goodbye anymore
This love has taken its toll on me
She said goodbye too many times before
And my heart is breaking in front of me
And she said goodbye too many times before
This love has taken its toll on me
She said goodbye too many times before
Her heart is breaking in front of me
And I have no choice
?Cause I won't say goodbye anymore"
Until You're Over Me,"This relationship is over
Though my stomach still hurts
And now I wanna live alone
Why is the pain much worse?
You look so much better without makeup
Why would you hide your face?
Don't wanna spend the night and wake up
Realize we've made a big mistake
I cannot refuse your eyes
Please don't look at me tonight
My heart beats fast I know you're there
I pretend like I don't care
It hurts so bad to know the truth
But I am still in love with you
I never meant to keep you waiting
And now your food is getting cold
I keep denying I'm in love with you
My routine is getting old
And now you stand in front of the table
And say you never look back
Do something stupid when you're angry
You'll only wake up sad
I cannot refuse your eyes
Please don't look at me tonight
My heart beats fast I know you're there
And I pretend like I don't care
It hurts so bad to know the truth
But girl I am still in love with you
It hurts too much to know the truth
But girl I am still in love with you
No more kisses on your lips
No tender touches please
I'd rather die on my two feet
Than live down on my knees
And all because you get me
Opened up and start to believe
And I just can't get over you
Until you're over me
I cannot refuse your eyes
Please don't look at me tonight
My heart beats fast I know you're there
And I pretend like I don't care
And I cannot refuse your eyes
Please don't look at me tonight
My heart beats fast I know you're there
And I pretend like I don't care
It hurts too much to know the truth
But girl I'm still in love with you
It hurts too much to know the truth
But girl I'm still in love with you"
Closer,"You let me violate you,
you let me disgraces you
You let me complicate you, you let me penetrate you.
(Ohhhhhhho)
Help me,don’t pop out my inside.
Help me, got no soul to sell.
Help me, the only thing that works for me.
Help me, get away from myself.
I wanna fuck you like an animal.
I wanna feel u from the inside.
And I wanna fuck you like an animal.
My whole existence is flood,
you bring me closer to god.
You can’t help my isolation, you can’t help the hate it brings,
You can’t help my absent of faith,
you can’t help my everything.
Help me, turn on my reason. Help me, sex I can smell.
Help me, you make me perfect shape.
Help me, think im somebody else.
I wanna fuck you like an animal.
I wanna feel you from the inside.
I wanna fuck you like an animal.
My whole existence is flood, you bring me closer to god."
